City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,albany,42.6001,-73.9662,292.54,94,100,0.34,US,2023-07-10 03:00:00
1,kourou,5.1552,-52.6478,298.52,89,5,3.61,GF,2023-07-10 03:00:00
2,klyuchi,52.2667,79.1667,296.22,45,39,3.36,RU,2023-07-10 03:00:00
3,taksimo,56.3444,114.8794,300.34,43,87,1.87,RU,2023-07-10 03:00:00
4,port-aux-francais,-49.35,70.2167,275.58,61,100,9.66,TF,2023-07-10 03:00:00
5,keflavik,64.0049,-22.5624,283.85,93,0,4.36,IS,2023-07-10 03:00:00
6,narok,-1.0783,35.8601,283.64,87,55,1.24,KE,2023-07-10 03:00:00
7,wailua homesteads,22.0669,-159.378,299.23,71,40,5.5,US,2023-07-10 03:00:00
8,alofi,-19.0595,-169.9187,299.09,89,41,5.88,NU,2023-07-10 03:00:00
9,waitangi,-43.9535,-176.5597,284.47,91,100,15.36,NZ,2023-07-10 03:00:00
10,bandarbeyla,9.4942,50.8122,299.58,65,100,12.26,SO,2023-07-10 03:00:00
11,avarua,-21.2078,-159.775,300.18,83,0,3.09,CK,2023-07-10 03:00:00
12,sitia,35.2,26.0986,299.25,71,0,13.26,GR,2023-07-10 03:00:00
13,edinburgh of the seven seas,-37.0676,-12.3116,288.56,83,100,11.35,SH,2023-07-10 03:00:00
14,tromso,69.6496,18.957,284.37,87,75,0.32,NO,2023-07-10 03:00:00
15,malabar,-33.9667,151.25,291.62,45,0,5.39,AU,2023-07-10 03:00:00
16,bethel,41.3712,-73.414,294.65,88,100,1.78,US,2023-07-10 03:00:00
17,georgetown,5.4112,100.3354,302.07,79,20,1.14,MY,2023-07-10 03:00:00
18,mugia,43.1041,-9.2179,289.86,81,0,2.59,ES,2023-07-10 03:00:00
19,kodiak,57.79,-152.4072,282.88,93,100,5.47,US,2023-07-10 03:00:00
20,papatowai,-46.5619,169.4708,284.09,74,97,0.91,NZ,2023-07-10 03:00:00
21,hammerfest,70.6634,23.6821,283.42,81,63,0.25,NO,2023-07-10 03:00:00
22,tiksi,71.6872,128.8694,279.43,61,100,4.67,RU,2023-07-10 03:00:00
23,zainsk,55.3195,52.0694,299.7,53,100,4.58,RU,2023-07-10 03:00:00
24,grytviken,-54.2811,-36.5092,266.68,81,49,4.15,GS,2023-07-10 03:00:00
25,ust-nera,64.5667,143.2,286.96,34,7,1.68,RU,2023-07-10 03:00:00
26,punta arenas,-53.15,-70.9167,274.25,93,0,3.94,CL,2023-07-10 03:00:00
27,blackmans bay,-43.0167,147.3167,287.04,65,98,3.55,AU,2023-07-10 03:00:00
28,adamstown,-25.066,-130.1015,294.5,70,100,6.42,PN,2023-07-10 03:00:00
29,zouerate,22.7187,-12.4521,302.81,27,3,6.77,MR,2023-07-10 03:00:00
30,iqaluit,63.7506,-68.5145,278.54,93,75,2.72,CA,2023-07-10 03:00:00
31,banda aceh,5.5577,95.3222,298.18,89,100,4.64,ID,2023-07-10 03:00:00
32,port elizabeth,-33.918,25.5701,285.02,91,20,4.22,ZA,2023-07-10 03:00:00
33,lihue,21.9789,-159.3672,300.2,64,40,6.04,US,2023-07-10 03:00:00
34,dudinka,69.4058,86.1778,280.72,82,100,5.14,RU,2023-07-10 03:00:00
35,petropavlovsk-kamchatsky,53.0452,158.6483,289.48,82,75,2.61,RU,2023-07-10 03:00:00
36,patacamaya,-17.2333,-67.9167,279.3,66,3,2.56,BO,2023-07-10 03:00:00
37,utrik,11.2278,169.8474,301.54,79,99,7.01,MH,2023-07-10 03:00:00
38,miranda,3.2499,-76.2281,295.22,78,3,2.47,CO,2023-07-10 03:00:00
39,arroio grande,-32.2375,-53.0869,287.5,90,100,1.07,BR,2023-07-10 03:00:00
40,kone,-21.0595,164.8658,297.57,47,11,4.31,NC,2023-07-10 03:00:00
41,puerto natales,-51.7236,-72.4875,270.76,93,17,1.25,CL,2023-07-10 03:00:00
42,bilibino,68.0546,166.4372,291.04,46,100,1.57,RU,2023-07-10 03:00:00
43,shingu,33.7333,135.9833,303.53,72,60,4.03,JP,2023-07-10 03:00:00
44,saipan,15.1355,145.701,303.51,100,40,8.71,MP,2023-07-10 03:00:00
45,namtsy,62.7161,129.6658,299.05,41,71,3.08,RU,2023-07-10 03:00:00
46,tadine,-21.55,167.8833,295.0,52,8,5.24,NC,2023-07-10 03:00:00
47,bredasdorp,-34.5322,20.0403,282.47,72,100,0.83,ZA,2023-07-10 03:00:00
48,hamilton,39.1834,-84.5333,292.02,80,0,0.72,US,2023-07-10 03:00:00
49,ilovlya,49.3033,43.9796,293.76,85,92,3.21,RU,2023-07-10 03:00:00
50,forster,-32.1667,152.5167,291.64,45,0,2.38,AU,2023-07-10 03:00:00
51,puerto madero,14.7208,-92.4215,298.46,78,100,2.39,MX,2023-07-10 03:00:00
52,whitehorse,60.7161,-135.0538,301.77,14,20,3.96,CA,2023-07-10 03:00:00
53,copala,16.65,-98.9833,299.89,85,100,0.47,MX,2023-07-10 03:00:00
54,grajau,-5.8194,-46.1386,297.06,72,13,1.59,BR,2023-07-10 03:00:00
55,tapiramuta,-11.8472,-40.7914,289.42,98,2,1.1,BR,2023-07-10 03:00:00
56,nemuro,43.3236,145.575,290.27,93,100,2.93,JP,2023-07-10 03:00:00
57,diamantino,-14.4086,-56.4461,295.53,53,0,2.01,BR,2023-07-10 03:00:00
58,porto novo,6.4965,2.6036,299.05,93,100,1.73,BJ,2023-07-10 03:00:00
59,walvis bay,-22.9575,14.5053,289.68,23,1,7.76,NA,2023-07-10 03:00:00
60,ribeira grande,38.5167,-28.7,294.39,96,92,3.67,PT,2023-07-10 03:00:00
61,puerto ayora,-0.7393,-90.3518,298.46,94,100,3.68,EC,2023-07-10 03:00:00
62,serenje,-13.2325,30.2352,284.53,83,0,1.99,ZM,2023-07-10 03:00:00
63,stanley,54.868,-1.6985,284.03,90,0,2.39,GB,2023-07-10 03:00:00
64,eldorado,-23.7869,-54.2836,292.38,82,100,2.75,BR,2023-07-10 03:00:00
65,anadyr,64.75,177.4833,292.43,45,20,2.76,RU,2023-07-10 03:00:00
66,quellon,-43.1167,-73.6167,278.29,93,75,2.36,CL,2023-07-10 03:00:00
67,sorong,-0.8833,131.25,300.29,80,78,0.88,ID,2023-07-10 03:00:00
68,awjilah,29.1081,21.2869,298.78,45,0,4.08,LY,2023-07-10 03:00:00
69,kingston,17.997,-76.7936,301.8,77,20,1.12,JM,2023-07-10 03:00:00
70,college,64.8569,-147.8028,296.96,43,75,0.15,US,2023-07-10 03:00:00
71,strathalbyn,-35.2667,138.9,288.93,88,42,6.63,AU,2023-07-10 03:00:00
72,hawaiian paradise park,19.5933,-154.9731,300.6,70,75,3.86,US,2023-07-10 03:00:00
73,san julian,21.0167,-102.1667,292.6,71,66,1.77,MX,2023-07-10 03:00:00
74,lebu,-37.6167,-73.65,280.51,76,18,2.78,CL,2023-07-10 03:00:00
75,kenai,60.5544,-151.2583,284.49,82,100,5.13,US,2023-07-10 03:00:00
76,talnakh,69.4865,88.3972,282.89,81,100,3.92,RU,2023-07-10 03:00:00
77,pariaman,-0.619,100.12,299.18,86,100,0.88,ID,2023-07-10 03:00:00
78,kotabumi,-4.8333,104.9,301.3,78,21,2.61,ID,2023-07-10 03:00:00
79,new norfolk,-42.7826,147.0587,286.75,71,97,4.09,AU,2023-07-10 03:00:00
80,vila velha,-20.3297,-40.2925,294.79,88,0,3.89,BR,2023-07-10 03:00:00
81,isafjordur,66.0755,-23.124,284.47,70,64,0.99,IS,2023-07-10 03:00:00
82,thompson,55.7435,-97.8558,284.24,71,75,3.89,CA,2023-07-10 03:00:00
83,vorgashor,67.5833,63.95,282.88,60,14,3.51,RU,2023-07-10 03:00:00
84,howrah,22.5892,88.3103,305.32,74,40,3.44,IN,2023-07-10 03:00:00
85,joypur hat,25.0943,89.0217,304.75,67,100,3.33,BD,2023-07-10 03:00:00
86,sale,34.0389,-6.8166,296.0,100,71,1.22,MA,2023-07-10 03:00:00
87,huarmey,-10.0681,-78.1522,294.04,82,42,4.0,PE,2023-07-10 03:00:00
88,korla,41.7597,86.1469,298.83,36,100,5.65,CN,2023-07-10 03:00:00
89,dali,25.7,100.1833,292.53,89,100,1.98,CN,2023-07-10 03:00:00
90,nadym,65.5333,72.5167,285.13,83,98,5.05,RU,2023-07-10 03:00:00
91,oranjemund,-28.55,16.4333,284.19,62,0,5.69,NA,2023-07-10 03:00:00
92,bouna,9.2667,-3.0,295.42,95,100,2.45,CI,2023-07-10 03:00:00
93,mochudi,-24.4167,26.15,277.33,37,0,5.0,BW,2023-07-10 03:00:00
94,miyako,39.6367,141.9525,298.82,74,72,1.28,JP,2023-07-10 03:00:00
95,afaahiti,-17.75,-149.2833,301.08,82,82,9.89,PF,2023-07-10 03:00:00
96,nova sintra,14.8667,-24.7167,295.06,81,23,8.96,CV,2023-07-10 03:00:00
97,kapuskasing,49.4169,-82.4331,291.15,59,75,3.21,CA,2023-07-10 03:00:00
98,shiprock,36.7855,-108.687,307.34,21,22,3.71,US,2023-07-10 03:00:00
99,margaret river,-33.95,115.0667,289.93,75,20,7.75,AU,2023-07-10 03:00:00
100,kailua-kona,19.6406,-155.9956,299.55,72,75,3.73,US,2023-07-10 03:00:00
101,enewetak,11.3474,162.3373,301.22,77,100,6.41,MH,2023-07-10 03:00:00
102,lautoka,-17.6167,177.4667,302.07,54,20,2.53,FJ,2023-07-10 03:00:00
103,codrington,-38.2667,141.9667,286.69,76,100,7.24,AU,2023-07-10 03:00:00
104,arraial do cabo,-22.9661,-42.0278,294.08,82,100,2.48,BR,2023-07-10 03:00:00
105,benghazi,32.1167,20.0667,297.73,77,0,7.2,LY,2023-07-10 03:00:00
106,crescent city,41.756,-124.2018,288.28,82,0,1.78,US,2023-07-10 03:00:00
107,sitka,57.0531,-135.33,288.09,67,20,3.39,US,2023-07-10 03:00:00
108,mikuni,36.2171,136.1519,305.1,81,100,4.23,JP,2023-07-10 03:00:00
109,cabo san lucas,22.8909,-109.9124,302.3,74,20,5.39,MX,2023-07-10 03:00:00
110,magadan,59.5667,150.8,285.67,84,100,3.83,RU,2023-07-10 03:00:00
111,safi,32.1667,-8.8333,293.7,66,0,3.97,MA,2023-07-10 03:00:00
112,tolanaro,-25.0319,46.9987,292.74,94,40,1.22,MG,2023-07-10 03:00:00
113,nagqu,31.5,92.0,286.69,61,100,2.82,CN,2023-07-10 03:00:00
114,ilulissat,69.2167,-51.1,281.16,71,100,0.68,GL,2023-07-10 03:00:00
115,invercargill,-46.4,168.35,283.74,75,27,1.59,NZ,2023-07-10 03:00:00
116,tommot,58.9564,126.2925,296.18,44,12,1.12,RU,2023-07-10 03:00:00
117,hadibu,12.65,54.0333,298.33,80,63,8.97,YE,2023-07-10 03:00:00
